id,label
0,"10,64,461"
1,"3,17,18"
2,"3,30,34"
3,"0,8,216"
4,"10,44,54"
5,"0,8,206"
6,"10,40,145"
7,"3,21,40"
8,"23,24,49"
9,"3,21,30"
10,"10,24,59"
11,"10,54,145"
12,"169,170,199"
13,"252,271,429"
14,"23,24,38"
15,"23,38,74"
16,"10,44,64"
17,"3,21,30"
18,"10,64,461"
19,"10,220,221"
20,"10,24,43"
21,"23,26,89"
22,"3,5,6"
23,"40,151,160"
24,"0,10,23"
25,"40,131,159"
26,"3,21,126"
27,"10,64,461"
28,"3,17,18"
29,"13,23,31"
30,"10,24,43"
31,"3,15,30"
32,"40,131,395"
33,"23,26,89"
34,"10,220,221"
35,"3,21,30"
36,"3,5,21"
37,"10,11,109"
38,"3,4,30"
39,"40,135,139"
40,"23,26,89"
41,"3,5,21"
42,"40,135,138"
43,"23,26,231"
44,"10,11,12"
45,"40,162,163"
46,"3,17,21"
47,"10,11,64"
48,"23,38,128"
49,"23,24,43"
50,"23,26,38"
51,"3,21,147"
52,"10,23,54"
53,"3,30,53"
54,"3,21,85"
55,"3,40,135"
56,"10,64,90"
57,"3,34,111"
58,"23,118,231"
59,"3,21,30"
60,"3,10,147"
61,"10,64,448"
62,"0,213,252"
63,"3,30,53"
64,"3,21,379"
65,"3,21,34"
66,"40,131,134"
67,"169,170,323"
68,"3,17,18"
69,"3,53,287"
70,"10,64,65"
71,"10,23,64"
72,"40,41,395"
73,"3,40,126"
74,"10,220,221"
75,"0,265,365"
76,"3,21,34"
77,"0,313,501"
78,"23,24,49"
79,"10,220,221"
80,"10,64,461"
81,"3,17,18"
82,"10,11,12"
83,"169,296,306"
84,"23,24,49"
85,"23,38,63"
86,"40,131,159"
87,"3,40,395"
88,"23,26,89"
89,"3,169,199"
90,"23,24,43"
91,"10,220,221"
92,"0,8,265"
93,"3,4,7"
94,"23,31,62"
95,"40,131,145"
96,"23,24,49"
97,"40,135,395"
98,"10,23,54"
99,"23,26,89"
100,"23,26,231"
101,"23,105,106"
102,"23,24,49"
103,"3,120,225"
104,"10,23,38"
105,"26,313,501"
106,"3,10,53"
107,"23,24,49"
108,"0,216,271"
109,"0,8,206"
110,"3,5,21"
111,"169,170,199"
112,"3,4,30"
113,"3,34,46"
114,"10,220,221"
115,"169,199,281"
116,"3,21,34"
117,"10,220,221"
118,"23,40,145"
119,"3,21,34"
120,"3,21,147"
121,"3,40,265"
122,"10,11,109"
123,"40,41,395"
124,"3,4,53"
125,"3,21,30"
126,"0,229,230"
127,"23,24,38"
128,"0,271,363"
129,"0,24,59"
130,"10,64,461"
131,"169,170,199"
132,"23,31,38"
133,"40,135,395"
134,"3,30,66"
135,"40,44,145"
136,"0,271,313"
137,"10,145,402"
138,"0,265,341"
139,"169,170,171"
140,"40,162,395"
141,"3,21,111"
142,"169,170,199"
143,"3,21,85"
144,"12,60,61"
145,"10,11,12"
146,"3,4,7"
147,"169,199,296"
148,"10,64,79"
149,"23,40,160"
150,"23,40,135"
151,"169,170,199"
152,"3,4,7"
153,"0,265,276"
154,"40,169,199"
155,"23,26,231"
156,"40,131,145"
157,"10,23,44"
158,"40,41,395"
159,"169,170,199"
160,"23,26,38"
161,"23,31,38"
162,"40,139,145"
163,"3,21,111"
164,"0,271,522"
165,"40,128,169"
166,"10,64,90"
167,"10,64,461"
168,"10,11,44"
169,"40,41,128"
170,"23,26,40"
171,"3,21,30"
172,"23,26,89"
173,"3,4,7"
174,"169,170,199"
175,"23,26,89"
176,"10,64,461"
177,"23,38,91"
178,"3,21,30"
179,"23,26,89"
180,"3,21,34"
181,"3,21,53"
182,"24,40,59"
183,"3,21,30"
184,"0,40,128"
185,"23,24,49"
186,"0,271,272"
187,"40,135,236"
188,"10,64,335"
189,"169,170,199"
190,"169,170,199"
191,"169,170,199"
192,"40,184,185"
193,"40,105,162"
194,"169,170,199"
195,"169,170,199"
196,"10,23,54"
197,"3,21,147"
198,"40,131,395"
199,"23,26,350"
200,"23,24,43"
201,"23,24,43"
202,"3,30,53"
203,"3,4,7"
204,"169,199,323"
205,"169,170,199"
206,"10,24,43"
207,"23,26,38"
208,"23,24,43"
209,"10,64,90"
210,"3,21,53"
211,"0,8,235"
212,"0,265,341"
213,"3,53,68"
214,"23,24,265"
215,"23,24,43"
216,"3,31,32"
217,"23,38,74"
218,"3,21,40"
219,"23,40,160"
220,"23,26,38"
221,"0,216,271"
222,"3,4,7"
223,"169,199,281"
224,"40,160,302"
225,"3,13,21"
226,"10,64,65"
227,"10,64,461"
228,"3,5,6"
229,"3,17,40"
230,"10,44,54"
231,"3,34,40"
232,"0,23,26"
233,"3,17,21"
234,"40,145,395"
235,"40,131,134"
236,"3,30,66"
237,"169,170,199"
238,"23,24,31"
239,"10,24,43"
240,"0,8,313"
241,"0,271,429"
242,"40,169,199"
243,"40,131,395"
244,"0,271,352"
245,"3,15,34"
246,"10,11,60"
247,"169,199,426"
248,"3,17,18"
249,"40,128,395"
250,"10,11,44"
251,"10,220,221"
252,"3,30,66"
253,"3,17,21"
254,"3,21,30"
255,"23,26,89"
256,"3,21,30"
257,"3,13,21"
258,"23,40,128"
259,"10,23,44"
260,"10,64,461"
261,"3,4,7"
262,"10,64,461"
263,"3,15,147"
264,"3,40,395"
265,"3,21,40"
266,"23,24,345"
267,"23,38,74"
268,"10,64,461"
269,"40,160,395"
270,"3,21,111"
271,"40,131,134"
272,"23,24,49"
273,"23,24,38"
274,"10,11,23"
275,"10,64,79"
276,"3,31,32"
277,"3,21,30"
278,"23,74,118"
279,"40,131,132"
280,"23,38,169"
281,"10,220,221"
282,"0,265,276"
283,"3,21,40"
284,"3,21,85"
285,"3,4,7"
286,"10,64,79"
287,"0,23,26"
288,"10,64,65"
289,"23,26,89"
290,"0,40,271"
291,"10,24,43"
292,"10,11,44"
293,"169,199,426"
294,"3,21,30"
